"Gene Symbol","Nominations","Year First Nominated","Nominating Teams","Cohort Study","Program","Input Data","Pharos Class","Small Molecule Druggability","Safety Rating","Antibody Modality"
"SPOCK3","1","2020","Emory","Banner, Emory, MSBB, ROSMAP","AMP-AD","Protein","Tbio","7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","1: Secreted protein. Highly accessible to antibody-based therapies."
"SPTB","1","2020","ASU","ROSMAP","AMP-AD","Genetics, Protein, RNA","Tbio","3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","4: Limited evidence that target is a secreted protein, ECM component or cell membrane-bound protein. "
"SPTLC1","1","2023","Duke","ADNI, AIBL","AMP-AD","Genetics, Metabolomics","Tchem","1: Small molecule druggable: Protein with a small molecule ligand identified from ChEMBL, meeting TCRD activity criteria.","5: Clinical data with evidence of intolerable safety profile/adverse drug reactions in the desired modality and with target engagement. Drug for target withdrawn on those grounds.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components."
"SPTLC3","1","2018","Duke","ADNI","AMP-AD","Genetics, Metabolomics","Tbio","2: Targetable by homology: >=40% homologous to a protein with a small molecule ligand identified from ChEMBL, meeting TCRD activity criteria.","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components."
"SREBF1","1","2018","Duke","ADNI","AMP-AD","Genetics, Metabolomics","Tbio","2: Targetable by homology: >=40% homologous to a protein with a small molecule ligand identified from ChEMBL, meeting TCRD activity criteria.","5: Clinical data with evidence of intolerable safety profile/adverse drug reactions in the desired modality and with target engagement. Drug for target withdrawn on those grounds.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components."
"SREBF2","1","2018","Duke","ADNI","AMP-AD","Genetics, Metabolomics","Tchem","1: Small molecule druggable: Protein with a small molecule ligand identified from ChEMBL, meeting TCRD activity criteria.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components."
"SRR","1","2018","Duke","ADNI","AMP-AD","Genetics, Metabolomics","Tbio","3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","5: Clinical data with evidence of intolerable safety profile/adverse drug reactions in the desired modality and with target engagement. Drug for target withdrawn on those grounds.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components."
"SRSF2","1","2018","Emory","ACT, Banner, BLSA","AMP-AD","Protein","Tbio","3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","6: Protein located in intracellular compartment. "
"ST18","1","2023","ASU","VirusResilience","AMP-AD","RNA","Tbio","9: Potentially small molecule druggable by family (active ligand): is a member of a gene family which has a member with an small molecule ligand identified from ChEMBL data, meeting TCRD activity criteria.","2: No major issues found from gene expression, genetic or pharmacological profiling, but has not been extensively tested in humans.","7: Dark target. Paucity of biological knowledge means progress will be difficult. Encourage others to investigate. "
"ST8SIA3","1","2018","MSSM - Zhang Lab","MSBB","AMP-AD","Genetics, RNA","Tbio","3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components."
"STARD10","1","2019","Chang Lab","ROSMAP","Community","Genetics, RNA","Tbio","7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","5: Protein located in the cytosol. Not practically accessible to antibody-based therapies, but may be more easily accessible to other modalities."
"STAU1","1","2018","Columbia-Rush","ROSMAP","AMP-AD","Clinical, Genetics, Protein, RNA","Tbio","7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","5: Protein located in the cytosol. Not practically accessible to antibody-based therapies, but may be more easily accessible to other modalities."
"STK10","1","2022","IUSM-Purdue","ABA, GSE33000, GSE44772, GSE48350, GSE5281, Mayo, MSBB, ROSMAP","TREAT-AD","RNA","Tchem","1: Small molecule druggable: Protein with a small molecule ligand identified from ChEMBL, meeting TCRD activity criteria.","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components."
"STOM","1","2023","Mayo-UFL-ISB","Mayo, MC-BrAD, TAUAPPms","AMP-AD","Genetics, RNA","Tbio","12: Potentially low ligandability: Has a structure but there is no evidence of a druggable pocket.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components."
"STX1B","1","2023","Emory","https://doi.org/10.1038/s41588-018-0311-9; https://doi.org/10.1038/s41588-019-0358-2","AMP-AD","Genetics, Protein","Tbio","12: Potentially low ligandability: Has a structure but there is no evidence of a druggable pocket.","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components."
"STXBP1","1","2023","MSSM - Zhang Lab","MSBB","AMP-AD","Protein","Tbio","3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components."
"STXBP3","1","2023","Emory","https://doi.org/10.1038/s41588-018-0311-9; https://doi.org/10.1038/s41588-019-0358-2","AMP-AD","Genetics, Protein","Tbio","3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","6: Protein located in intracellular compartment. "
"STXBP5L","1","2018","MSSM - Zhang Lab","MSBB","AMP-AD","Genetics, RNA","Tbio","7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components."
"SULT1A3","1","2020","ASU","ROSMAP","AMP-AD","Genetics, Protein, RNA","Tbio","2: Targetable by homology: >=40% homologous to a protein with a small molecule ligand identified from ChEMBL, meeting TCRD activity criteria.","5: Clinical data with evidence of intolerable safety profile/adverse drug reactions in the desired modality and with target engagement. Drug for target withdrawn on those grounds.","7: Dark target. Paucity of biological knowledge means progress will be difficult. Encourage others to investigate. "
"SULT2A1","1","2018","Duke","ADNI","AMP-AD","Genetics, Metabolomics","Tbio","3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","5: Clinical data with evidence of intolerable safety profile/adverse drug reactions in the desired modality and with target engagement. Drug for target withdrawn on those grounds.","5: Protein located in the cytosol. Not practically accessible to antibody-based therapies, but may be more easily accessible to other modalities."
"SULT4A1","1","2019","Chang Lab","Kronos, Mayo, ROSMAP","Community","Genetics, RNA","Tbio","7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","7: Dark target. Paucity of biological knowledge means progress will be difficult. Encourage others to investigate. "
"SUMF1","1","2023","Duke","","AMP-AD","Genetics, Metabolomics, Phenomics, Protein, RNA","Tbio","3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","1: Secreted protein. Highly accessible to antibody-based therapies."
"SYN1","1","2019","Chang Lab","Kronos, Mayo, MSBB, ROSMAP, Rush","Community","Genetics, Protein, RNA","Tbio","3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","7: Dark target. Paucity of biological knowledge means progress will be difficult. Encourage others to investigate. "
"SYN2","1","2018","MSSM - Zhang Lab","MSBB","AMP-AD","Genetics, RNA","Tbio","3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","6: Protein located in intracellular compartment. "
"SYNGR4","1","2020","ASU","ROSMAP","AMP-AD","Genetics, Protein, RNA","Tdark","13: Unknown: There is no information on ligands or structure in any of the categories above. ","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components."
"SYNJ1","1","2023","ASU","VirusResilience","AMP-AD","RNA","Tbio","7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components."
"SYNPO","1","2018","Emory","ACT, Banner, BLSA","AMP-AD","Protein","Tbio","13: Unknown: There is no information on ligands or structure in any of the categories above. ","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","5: Protein located in the cytosol. Not practically accessible to antibody-based therapies, but may be more easily accessible to other modalities."
"SYP","1","2018","MSSM - Zhang Lab","MSBB","AMP-AD","Genetics, RNA","Tbio","13: Unknown: There is no information on ligands or structure in any of the categories above. ","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components."
"SYT12","1","2018","Emory","ACT, Banner, BLSA","AMP-AD","Protein","Tdark","7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components."
"SYT13","1","2018","MSSM - Zhang Lab","MSBB","AMP-AD","Genetics, RNA","Tbio","3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components."
"TAL1","1","2022","IUSM-Purdue","ABA, GSE33000, GSE44772, GSE48350, GSE5281, Mayo, MSBB, ROSMAP","TREAT-AD","RNA","Tbio","7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","6: Protein located in intracellular compartment. "
"TARDBP","1","2020","ASU","ROSMAP","AMP-AD","Genetics, Protein, RNA","Tbio","3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","6: Protein located in intracellular compartment. "
"TBXAS1","1","2022","IUSM-Purdue","ABA, GSE33000, GSE44772, GSE48350, GSE5281, Mayo, MSBB, ROSMAP","TREAT-AD","RNA","Tchem","1: Small molecule druggable: Protein with a small molecule ligand identified from ChEMBL, meeting TCRD activity criteria.","5: Clinical data with evidence of intolerable safety profile/adverse drug reactions in the desired modality and with target engagement. Drug for target withdrawn on those grounds.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components."
"TESPA1","1","2018","MSSM - Zhang Lab","MSBB","AMP-AD","Genetics, RNA","Tbio","13: Unknown: There is no information on ligands or structure in any of the categories above. ","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","7: Dark target. Paucity of biological knowledge means progress will be difficult. Encourage others to investigate. "
"TGFB1","1","2018","Mayo-UFL-ISB","Mayo","AMP-AD","RNA","Tchem","1: Small molecule druggable: Protein with a small molecule ligand identified from ChEMBL, meeting TCRD activity criteria.","5: Clinical data with evidence of intolerable safety profile/adverse drug reactions in the desired modality and with target engagement. Drug for target withdrawn on those grounds.","1: Secreted protein. Highly accessible to antibody-based therapies."
"TICAM1","1","2022","Emory-Sage-SGC","","TREAT-AD","Pathway Modeling, Risk Scores","Tbio","7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","4: Limited evidence that target is a secreted protein, ECM component or cell membrane-bound protein. "
"TIMM13","1","2018","Columbia-Rush","ROSMAP","AMP-AD","Clinical, Protein","Tbio","11: Druggable protein class, no other information: Is a member of a PHAROS druggable class of protein (enzyme, receptor, ion channel, nuclear hormone receptor, kinase) but does not meet any of the criteria above.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","6: Protein located in intracellular compartment. "
"TIMP3","1","2018","Mayo-UFL-ISB","Mayo","AMP-AD","RNA","Tbio","3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","1: Secreted protein. Highly accessible to antibody-based therapies."
"TJP2","1","2023","MSSM - Zhang Lab","MSBB","AMP-AD","Protein","Tbio","3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components."
"TKFC","1","2023","Duke","","AMP-AD","Genetics, Metabolomics, Phenomics, Protein, RNA","Tbio","11: Druggable protein class, no other information: Is a member of a PHAROS druggable class of protein (enzyme, receptor, ion channel, nuclear hormone receptor, kinase) but does not meet any of the criteria above.","2: No major issues found from gene expression, genetic or pharmacological profiling, but has not been extensively tested in humans.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components."
"TLR1","1","2018","Mayo-UFL-ISB","Mayo","AMP-AD","RNA","Tbio","3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","1: Secreted protein. Highly accessible to antibody-based therapies."
"TLR4","1","2018","Mayo-UFL-ISB","Mayo","AMP-AD","RNA","Tchem","1: Small molecule druggable: Protein with a small molecule ligand identified from ChEMBL, meeting TCRD activity criteria.","2: No major issues found from gene expression, genetic or pharmacological profiling, but has not been extensively tested in humans.","1: Secreted protein. Highly accessible to antibody-based therapies."
"TLR5","1","2018","Mayo-UFL-ISB","Mayo","AMP-AD","RNA","Tbio","7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components."
"TLR7","1","2022","IUSM-Purdue","ABA, GSE33000, GSE44772, GSE48350, GSE5281, Mayo, MSBB, ROSMAP","TREAT-AD","RNA","Tclin","1: Small molecule druggable: Protein with a small molecule ligand identified from ChEMBL, meeting TCRD activity criteria.","1: Clinical data, evidence of tolerable safety profile in desired modality; target has a drug in phase IV in the appropriate modality, with good safety profile.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components."
"TM6SF2","1","2023","Duke","ADNI, AIBL","AMP-AD","Genetics, Metabolomics","Tbio","13: Unknown: There is no information on ligands or structure in any of the categories above. ","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components."
"TMBIM1","1","2018","MSSM - Zhang Lab","MSBB","AMP-AD","Genetics, RNA","Tbio","13: Unknown: There is no information on ligands or structure in any of the categories above. ","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components."
"TMEFF2","1","2020","Emory","Banner, Emory, MSBB, ROSMAP","AMP-AD","Protein","Tbio","13: Unknown: There is no information on ligands or structure in any of the categories above. ","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components."
"TMEM119","1","2022","IUSM-Purdue","ABA, GSE33000, GSE44772, GSE48350, GSE5281, Mayo, MSBB, ROSMAP","TREAT-AD","RNA","Tbio","13: Unknown: There is no information on ligands or structure in any of the categories above. ","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","1: Secreted protein. Highly accessible to antibody-based therapies."
"TMEM184B","1","2019","Chang Lab","Mayo, ROSMAP","Community","Genetics, RNA","Tdark","13: Unknown: There is no information on ligands or structure in any of the categories above. ","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components."
"TMEM229B","1","2018","Duke","ADNI","AMP-AD","Genetics, Metabolomics","Tdark","13: Unknown: There is no information on ligands or structure in any of the categories above. ","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components."
"TMEM258","1","2023","Duke","ADNI, AIBL","AMP-AD","Genetics, Metabolomics","Tdark","13: Unknown: There is no information on ligands or structure in any of the categories above. ","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components."
"TMPO","1","2018","Emory","ACT, Banner, BLSA","AMP-AD","Protein","No value","13: Unknown: There is no information on ligands or structure in any of the categories above. ","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components."
"TMX3","1","2018","Columbia-Rush","ROSMAP","AMP-AD","Clinical, Protein","Tbio","7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","1: Secreted protein. Highly accessible to antibody-based therapies."
"TNFAIP8","1","2023","MSSM - Roussos Lab","HBI_scRNAseq","AMP-AD","RNA","Tbio","4: Targetable by homologous structure: >=40% homologous to a structurally druggable protein, based on the presence of a druggable pocket in the homologous protein (DrugEBIlity/CanSAR).","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","4: Limited evidence that target is a secreted protein, ECM component or cell membrane-bound protein. "
"TNFRSF11B","1","2023","MSSM - Roussos Lab","FreshMicro","AMP-AD","RNA","Tbio","7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","1: Secreted protein. Highly accessible to antibody-based therapies."
"TNS1","1","2023","MSSM - Zhang Lab","MSBB","AMP-AD","Protein","Tbio","7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","1: Secreted protein. Highly accessible to antibody-based therapies."
"TOMM70","1","2018","Emory","ACT, Banner, BLSA","AMP-AD","Protein","Tbio","7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components."
"TPR","1","2023","MSSM - Zhang Lab","MSBB","AMP-AD","Protein","Tbio","7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","6: Protein located in intracellular compartment. "
"TPST1","1","2019","Chang Lab","Kronos, Mayo, ROSMAP, Rush","Community","Genetics, RNA","Tbio","3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","1: Secreted protein. Highly accessible to antibody-based therapies."
"TREML1","1","2018","Mayo-UFL-ISB","Mayo","AMP-AD","RNA","Tbio","3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components."
"TRHDE","1","2023","MSSM - Roussos Lab","HBI_scRNAseq","AMP-AD","RNA","Tbio","7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components."
"TRIOBP","1","2018","Columbia-Rush","ROSMAP","AMP-AD","Clinical, Genetics, Protein, RNA","Tbio","7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","7: Dark target. Paucity of biological knowledge means progress will be difficult. Encourage others to investigate. "
"TRPC3","1","2021","JAX-VUMC-UW Resilience","AD-BXD mice","Resilience-AD","Genetics, Protein","Tchem","1: Small molecule druggable: Protein with a small molecule ligand identified from ChEMBL, meeting TCRD activity criteria.","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components."
"TRPM1","1","2023","ASU","VirusResilience","AMP-AD","RNA","Tchem","1: Small molecule druggable: Protein with a small molecule ligand identified from ChEMBL, meeting TCRD activity criteria.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components."
"TSPAN7","1","2023","MSSM - Zhang Lab","MSBB","AMP-AD","Protein","Tbio","7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components."
"TTBK2","1","2020","MSSM - Zhang Lab","MSBB","AMP-AD","Genetics, Protein","Tbio","3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components."
"TTYH2","1","2019","Chang Lab","Kronos, Mayo, ROSMAP, Rush","Community","Genetics, RNA","Tdark","11: Druggable protein class, no other information: Is a member of a PHAROS druggable class of protein (enzyme, receptor, ion channel, nuclear hormone receptor, kinase) but does not meet any of the criteria above.","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components."
